filename,tempo_bpm,duration_s,num_onsets,num_beats,rms_mean_db,rms_std_db,dynamic_range_db,crest_mean,crest_std,zcr_mean,spec_flat_mean,centroid_mean_hz,harm_perc_ratio,error
Midnight Window Glow_job41_track1.mp3,80.7,204.64,518,273,-19.4,6.25,40.5,3.05,1.06,0.0602,0.0155,2203.5,2.843,
Midnight Window Glow_job41_track2.mp3,117.5,199.92,385,384,-18.5,6.16,51.6,2.95,0.91,0.0618,0.0134,2117.7,4.647,
Midnight Window Glow_job43_track1.mp3,103.4,239.96,798,409,-15.3,4.96,52.1,3.23,0.75,0.0858,0.0182,2651.2,3.371,
Midnight Window Glow_job43_track2.mp3,99.4,189.56,596,309,-17.6,7.23,50.8,3.15,0.79,0.0777,0.0156,2517.8,2.588,
Midnight Window Glow_job44_track1.mp3,107.7,193.92,353,322,-20.0,7.01,49.9,3.05,0.93,0.0691,0.0176,2219.2,8.329,
Midnight Window Glow_job44_track2.mp3,89.1,134.96,385,189,-18.7,4.71,50.4,2.85,0.65,0.0418,0.0061,1552.4,4.281,
Midnight Window Glow_job45_track1.mp3,152.0,238.32,524,555,-20.4,7.06,52.2,3.0,0.9,0.0779,0.0165,2592.7,5.05,
Midnight Window Glow_job45_track2.mp3,68.0,219.88,575,241,-17.4,5.1,50.7,2.85,0.53,0.0454,0.0048,1466.4,4.454,
Midnight Window Glow_job46_track1.mp3,152.0,239.92,560,576,-18.0,5.46,49.5,2.88,0.69,0.0484,0.0072,1663.9,3.655,
Midnight Window Glow_job46_track2.mp3,95.7,233.44,447,358,-18.2,5.39,49.9,2.94,0.67,0.0393,0.0036,1199.7,4.496,
Midnight Window Glow_job47_track1.mp3,136.0,263.2,577,558,-17.5,4.47,50.8,3.01,0.65,0.0576,0.0067,1964.9,4.785,
Midnight Window Glow_job47_track2.mp3,107.7,254.88,505,435,-18.5,6.55,46.4,2.94,0.58,0.0561,0.0068,1811.3,4.556,
Midnight Window Glow_job48_track1.mp3,136.0,214.92,445,441,-17.2,7.11,49.1,2.84,0.78,0.0586,0.0097,1924.9,3.527,
Midnight Window Glow_job48_track2.mp3,143.6,244.96,538,520,-16.5,6.37,53.9,3.02,0.74,0.0731,0.0149,2264.8,3.363,
Midnight Window Glow_job49_track1.mp3,92.3,224.84,624,333,-18.5,5.67,47.1,3.0,0.86,0.0554,0.0104,1856.9,4.487,
Midnight Window Glow_job49_track2.mp3,123.0,239.84,495,480,-17.0,6.46,50.4,3.1,0.75,0.0843,0.02,2725.7,4.009,
Midnight Window Glow_job50_track1.mp3,95.7,144.76,425,221,-19.1,9.89,49.4,3.23,0.69,0.0774,0.0179,2352.3,6.344,
Midnight Window Glow_job50_track2.mp3,129.2,164.56,365,345,-21.1,9.41,49.5,3.47,0.96,0.103,0.0236,2899.5,4.464,
Midnight Window Glow_job7_track2.mp3,86.1,257.92,691,351,-17.3,4.8,45.7,2.81,0.69,0.0477,0.0079,1712.3,3.991,
Midnight Window Light.mp3,112.3,197.48,403,342,-17.9,6.79,52.3,3.13,0.86,0.0789,0.0156,2503.5,4.875,
Midnight Window Light_job17_track1.mp3,152.0,179.96,439,448,-18.2,5.37,50.7,3.0,0.6,0.0407,0.0025,1120.0,7.416,
Midnight Window Light_job17_track2.mp3,95.7,244.76,690,378,-18.1,5.59,51.2,2.89,0.73,0.041,0.0055,1523.8,4.932,
Midnight Window Light_job18_track1.mp3,112.3,244.88,507,443,-17.7,5.28,49.6,3.0,0.64,0.0642,0.0113,2060.8,3.716,
Midnight Window Light_job18_track2.mp3,117.5,223.96,472,430,-17.6,5.83,51.3,3.03,0.76,0.0683,0.0137,2222.6,5.44,
Midnight Window Light_job21_track1.mp3,103.4,198.56,370,326,-15.6,4.01,37.5,2.82,0.51,0.0544,0.0072,2093.4,5.86,
Midnight Window Light_job21_track2.mp3,92.3,201.96,559,299,-16.3,6.99,52.4,3.07,0.74,0.0716,0.0144,2310.8,4.945,
Midnight Window Light_job22_track1.mp3,69.8,194.76,505,205,-21.2,9.86,50.8,2.76,0.66,0.0496,0.0078,1599.5,7.098,
Midnight Window Light_job22_track2.mp3,107.7,167.08,308,289,-18.3,6.6,50.4,2.9,0.72,0.0506,0.0047,1754.1,5.18,
Midnight Window Light_job27_track1.mp3,86.1,214.84,586,304,-17.4,4.6,49.1,2.85,0.73,0.0475,0.0078,1742.6,4.97,
Midnight Window Light_job27_track2.mp3,172.3,253.6,649,693,-17.7,5.85,46.5,2.8,0.65,0.0588,0.0109,1954.0,4.925,
Midnight Window Light_job28_track1.mp3,117.5,243.44,506,465,-17.3,5.4,49.6,2.91,0.54,0.0635,0.0071,1787.4,4.071,
Midnight Window Light_job28_track2.mp3,112.3,244.44,495,445,-16.8,7.82,49.0,3.06,0.73,0.0765,0.0173,2454.2,4.496,
Midnight Window Light_job34_track1.mp3,152.0,204.2,498,503,-18.7,6.33,51.2,3.06,0.87,0.0622,0.0126,2048.8,3.59,
Midnight Window Light_job34_track2.mp3,95.7,184.92,355,277,-17.8,5.45,45.6,2.98,0.69,0.0582,0.0081,1873.8,4.421,
Midnight Window Light_job5_track2.mp3,117.5,191.28,372,349,-17.7,5.62,51.1,2.98,0.65,0.0646,0.0091,2042.6,4.895,
Midnight Window Seat.mp3,95.7,208.16,630,328,-19.1,5.45,49.8,3.13,0.71,0.0539,0.0054,1943.6,2.904,
Midnight Window Seat_job1_track2.mp3,136.0,150.6,358,346,-18.4,6.18,48.3,2.86,0.57,0.0391,0.003,1409.8,8.324,
Midnight Window Seat_job2_track1.mp3,123.0,189.76,398,390,-18.5,7.05,50.1,2.82,0.62,0.0446,0.0058,1384.4,6.6,
Midnight Window Seat_job2_track2.mp3,123.0,213.16,424,424,-19.2,7.12,49.6,2.88,0.67,0.0561,0.009,1849.6,3.028,
Midnight Window Seat_job6_track1.mp3,86.1,257.72,679,351,-16.7,5.12,47.5,3.19,0.9,0.1109,0.036,3364.2,4.402,
Midnight Window Seat_job6_track2.mp3,80.7,224.96,571,293,-16.8,4.55,50.5,2.9,0.63,0.0567,0.0104,1922.1,4.956,
Midnight Window Seat_job8_track1.mp3,161.5,234.8,567,616,-21.3,9.33,49.0,2.99,0.72,0.0607,0.0117,1903.7,4.996,
Midnight Window Seat_job8_track2.mp3,161.5,238.08,571,604,-20.2,5.86,47.8,3.02,0.78,0.0718,0.0144,2308.1,4.04,
Midnight Windowlight.mp3,129.2,183.0,388,393,-19.0,6.24,44.4,2.88,0.77,0.0526,0.0071,1796.6,4.396,
Midnight Windowlight_job4_track2.mp3,143.6,253.0,607,591,-16.8,5.36,51.5,2.97,0.66,0.0544,0.0082,1760.2,3.725,
Midnight Windows.mp3,129.2,119.0,265,241,-18.0,4.71,50.1,2.86,0.55,0.0414,0.0034,1441.5,8.527,
Midnight Windows_job16_track1.mp3,76.0,248.16,518,296,-21.6,6.46,49.9,2.92,0.82,0.0474,0.0062,1730.5,4.087,
Midnight Windows_job16_track2.mp3,117.5,278.72,568,515,-16.0,5.07,48.7,2.91,0.64,0.0724,0.015,2576.9,3.901,
Midnight Windows_job38_track1.mp3,129.2,201.48,445,438,-18.7,6.99,49.1,2.95,0.65,0.0522,0.0053,1673.1,5.496,
Midnight Windows_job38_track2.mp3,136.0,234.68,500,484,-19.1,5.85,48.4,3.08,0.73,0.0535,0.0054,1581.7,4.876,
Midnight Windows_job9_track2.mp3,117.5,126.44,262,241,-16.9,4.91,49.1,3.09,0.67,0.0638,0.0115,2034.8,7.259,
